n_comp,condition,sens,spec,Anomaly,sens_variance,spec_variance
4.0,0.28,0.6940979024212786,0.7032144532181874,Density_a,0.002797896273486291,0.006706873699165371
4.0,0.28,0.0,1.0,pH_a,0.0,0.0
4.0,0.29,0.6744628071153514,0.8139405059849831,Density_a,0.0009223894280701607,0.002949998726213087
4.0,0.29,0.0,1.0,pH_a,0.0,0.0
4.0,0.3,0.6499055183398128,0.7412024484678053,Density_a,0.0040013054944237425,0.002032360407634577
4.0,0.3,0.0,1.0,pH_a,0.0,0.0
5.0,0.01,0.9961202506250192,0.026525952453566686,Density_a,3.668083836462176e-05,0.0006108190782021035
5.0,0.01,0.1518796992481203,0.7203020672880749,pH_a,0.034062600109295786,0.0011980029945761904
5.0,0.02,0.996103261249098,0.057424975815362336,Density_a,2.9366845934611866e-05,0.0002544970234693123
5.0,0.02,0.0,0.9799727703499256,pH_a,0.0,0.0001889960419753321
5.0,0.03,0.9734116829827792,0.11292925881522214,Density_a,0.0005541759466460115,0.001219731265693583
5.0,0.03,0.0,0.9958937198067632,pH_a,0.0,8.430768512684059e-05
5.0,0.04,0.9433147989740498,0.12714170221023965,Density_a,0.0022004663365288576,0.001538942137791568
5.0,0.04,0.0,0.9992741651150524,pH_a,0.0,1.1772667383528034e-06
5.0,0.05,0.9633398729236486,0.17748338788442755,Density_a,0.0012277434580745513,0.0027723093835793806
5.0,0.05,0.0,0.9997604790419162,pH_a,0.0,2.86851446807e-07
5.0,0.06,0.8924827267998795,0.20728064210786287,Density_a,0.004467422411557854,0.006284544445961065
5.0,0.06,0.0,1.0,pH_a,0.0,0.0
5.0,0.07,0.9339290008946508,0.2482805592536277,Density_a,0.0010412855347730356,0.004046668442991429
5.0,0.07,0.0,0.9997584541062802,pH_a,0.0,2.917220938645035e-07
5.0,0.08,0.8694301660153106,0.3109617194212399,Density_a,0.0009060234721255453,0.004723377974034621
5.0,0.08,0.0,1.0,pH_a,0.0,0.0
5.0,0.09,0.8222966113884047,0.3689686948974262,Density_a,0.0010439149466943208,0.008573708506380234
5.0,0.09,0.0,1.0,pH_a,0.0,0.0
5.0,0.1,0.840507726691126,0.3853839015396317,Density_a,0.004273369723462657,0.0056914798785560935
